Meta_Category_Number,Meta_Category_Name,Category_Number,Category_Name,Month,Amount
72001,Contractors,72000,Contracted Services,July,2580.09
72501,Food,72500,Meals,January,42.42
72501,Food,72500,Meals,February,35.78
72501,Food,72500,Meals,March,22.64
72501,Food,72500,Meals,April,72.58
72501,Food,72500,Meals,May ,34.19
72501,Food,72500,Meals,June ,68.26
72501,Food,72500,Meals,July,128.91
73001,Fuel Tanks,73000,Farm Fuel Tanks,January,0.00
73001,Fuel Tanks,73000,Farm Fuel Tanks,February,23.30
73001,Fuel Tanks,73000,Farm Fuel Tanks,March,0.00
73001,Fuel Tanks,73000,Farm Fuel Tanks,April,1475.34
73001,Fuel Tanks,73000,Farm Fuel Tanks,May ,189.22
73001,Fuel Tanks,73000,Farm Fuel Tanks,June ,0.00
73001,Fuel Tanks,73000,Farm Fuel Tanks,July,32.24
73501,Farm Lease,73500,Farm Lease Expense,January,134935.86
73501,Farm Lease,73500,Farm Lease Expense,February,62000.00
73501,Farm Lease,73500,Farm Lease Expense,March,80000.00
73501,Farm Lease,73500,Farm Lease Expense,April,63500.00
73501,Farm Lease,73500,Farm Lease Expense,May ,72000.00
73501,Farm Lease,73500,Farm Lease Expense,June ,161999.00
73501,Farm Lease,73500,Farm Lease Expense,July,57000.00
74501,Bedding,74500,Bedding,January,0.00
74501,Bedding,74500,Bedding,February,-2813.75
74501,Bedding,74500,Bedding,March,4172.50
74501,Bedding,74500,Bedding,April,281.25
74501,Bedding,74500,Bedding,May ,781.25
74501,Bedding,74500,Bedding,June ,0.00
74501,Bedding,74500,Bedding,July,0.00
75001,Trash and Sanitation,75000,Trash Service,January,152.00
75001,Trash and Sanitation,75000,Trash Service,February,152.00
75001,Trash and Sanitation,75000,Trash Service,March,152.00
75001,Trash and Sanitation,75000,Trash Service,April,152.00
75001,Trash and Sanitation,75000,Trash Service,May ,152.00
75001,Trash and Sanitation,75000,Trash Service,June ,152.00
75001,Trash and Sanitation,75000,Trash Service,July,152.00
75001,Trash and Sanitation,75100,Sanitation,January,0.00
75001,Trash and Sanitation,75100,Sanitation,February,0.00
75001,Trash and Sanitation,75100,Sanitation,March,0.00
75001,Trash and Sanitation,75100,Sanitation,April,0.00
75001,Trash and Sanitation,75100,Sanitation,May ,0.00
75001,Trash and Sanitation,75100,Sanitation,June ,181.46
75001,Trash and Sanitation,75100,Sanitation,July,0.00
77001,Road Repair,77000,Road Maintenance,January,0.00
77001,Road Repair,77000,Road Maintenance,February,0.00
77001,Road Repair,77000,Road Maintenance,March,935.00
77001,Road Repair,77000,Road Maintenance,April,0.00
77001,Road Repair,77000,Road Maintenance,May ,0.00
77001,Road Repair,77000,Road Maintenance,June ,-935.00
77001,Road Repair,77000,Road Maintenance,July,0.00
79001,Misc,79000,Miscellaneous Expense,January,0.00
79001,Misc,79000,Miscellaneous Expense,February,181.46
79001,Misc,79000,Miscellaneous Expense,March,362.92
79001,Misc,79000,Miscellaneous Expense,April,181.46
79001,Misc,79000,Miscellaneous Expense,May ,181.46
79001,Misc,79000,Miscellaneous Expense,June ,0.00
79001,Misc,79000,Miscellaneous Expense,July,181.46
70011,No Category,70001,Uncategorized Expense,January,0.00
70011,No Category,70001,Uncategorized Expense,February,0.00
70011,No Category,70001,Uncategorized Expense,March,0.00
70011,No Category,70001,Uncategorized Expense,April,1485.23
70011,No Category,70001,Uncategorized Expense,May ,0.00
70011,No Category,70001,Uncategorized Expense,June ,0.00
70011,No Category,70001,Uncategorized Expense,July,0.00
